"Name","Pin","Function","Power, Clock, Debug, System","CANFD","AGT","SCI","SPI","GPT","GPT_OPS","ICU","BUS_ASYNCH","QSPI","USB_FS","SDHI","ETHERC_RMII","CAC","SSI","CTSU","RTC","IIC","ADC","OSPI","USB_HS","CEC","SSI_COMMON","GPT_POEG","DAC","Symbolic Name","Drive Capacity","IRQ","Mode","Output type","Pull up","Port Capabilities","Pin Function Comment","Direction","Remarks","Pin Number Comment",
"P614","F2","","","","AGTO0","RXD7/SCL7","","","","","D10","","","","","","","","","","","","","","","","","","","","Disabled","","","AGT0: AGTO0
BUS_ASYNCH0: D10
SCI7: RXD7
SCI7: SCL7","","None","","",
"P615","F1","","","","","","","","","IRQ07","","","USB_VBUSEN","","","","","","","","","","","","","","","","","","Disabled","","","ICU0: IRQ07
USB_FS0: USB_VBUSEN","","None","","",
"P700","N15","","","","AGTO4","","MISOA","GTIOC5A","","","","","","","RMII_TXD0","","","","","","","","","","","","","","","","Disabled","","","AGT4: AGTO4
ETHERC_MII0: ET0_ETXD1
ETHERC_RMII0: RMII_TXD0
GPT5: GTIOC5A
SPI0: MISOA","","None","","",
"P701","M14","","","","AGTO3","","MOSIA","GTIOC5B","","","","","","","REF50CK","","","","","","","","","","","","","","","","Disabled","","","AGT3: AGTO3
ETHERC_MII0: ET0_ETXD0
ETHERC_RMII0: REF50CK
GPT5: GTIOC5B
SPI0: MOSIA","","None","","",
"P702","L12","","","","AGTO2","","RSPCKA","GTIOC6A","","","","","","","RMII_RXD0","","","","","","","","","","","","","","","","Disabled","","","AGT2: AGTO2
ETHERC_MII0: ET0_ERXD1
ETHERC_RMII0: RMII_RXD0
GPT6: GTIOC6A
SPI0: RSPCKA","","None","","",
"P703","M15","","","","AGTO1","","SSLA0","GTIOC6B","","","","","","","RMII_RXD1","","","","","","","","","","","","","","","","Disabled","","","AGT1: AGTO1
ETHERC_MII0: ET0_ERXD0
ETHERC_RMII0: RMII_RXD1
GPT6: GTIOC6B
SPI0: SSLA0","","None","","",
"P704","L13","","","CTX0","AGTO0","","SSLA1","","","","","","","","RMII_RX_ER","","","","","","","","","","","","","","","","Disabled","","","AGT0: AGTO0
CAN0: CTX0
ETHERC_MII0: ET0_RX_CLK
ETHERC_RMII0: RMII_RX_ER
SPI0: SSLA1","","None","","",
"P705","K12","","","CRX0","AGTIO0","CTS3","SSLA2","","","","","","","","RMII_CRS_DV","","","","","","","","","","","","","","","","Disabled","","","AGT0: AGTIO0
CAN0: CRX0
ETHERC_MII0: ET0_CRS
ETHERC_RMII0: RMII_CRS_DV
SCI3: CTS3
SPI0: SSLA2","","None","","",
"P706","L14","SCI3_RXD3","","","","RXD3/SCL3","","","","IRQ07","","","","","","","","","","","","","USBHS_OVRCURB","","","","","","Low","None","Peripheral mode","CMOS","None","ICU0: IRQ07
SCI3: RXD3
SCI3: SCL3
USB_HS0: USBHS_OVRCURB","","IO","","",
"P707","L15","SCI3_TXD3","","","","TXD3/SDA3","","","","IRQ08","","","","","","","","","","","","","USBHS_OVRCURA","","","","","","Low","None","Peripheral mode","CMOS","None","ICU0: IRQ08
SCI3: SDA3
SCI3: TXD3
USB_HS0: USBHS_OVRCURA","","IO","","",
"P708","E15","","","","","RXD1/SCL1","SSLB3","","","IRQ11","","","","","","CACREF","","TS12","","","","","","CECIO","AUDIO_CLK","","","","","","Disabled","","","CAC0: CACREF
CEC0: CECIO
CTSU0: TS12
ETHERC_MII0: ET0_ETXD3
ICU0: IRQ11
SCI1: RXD1
SCI1: SCL1
SPI1: SSLB3
SSI_COMMON0: AUDIO_CLK","","None","","",
"P800","N3","","","","AGTOA4","CTS0","","","","","D14","","","","","","","","","","AN125","","","","","","","","","","Disabled","","","ADC1: AN125
AGT4: AGTOA4
BUS_ASYNCH0: D14
SCI0: CTS0","","None","","",
"P801","R1","","","","AGTOB4","CTS8","","","","","D15","","","","","","","","","","AN126","","","","","","","","","","Disabled","","","ADC1: AN126
AGT4: AGTOB4
BUS_ASYNCH0: D15
SCI8: CTS8","","None","","",
"P802","P2","","","","","","","","","IRQ03","","","","","","","","","","","AN127","","","","","","","","","","Disabled","","","ADC1: AN127
ICU0: IRQ03","","None","","",
"P803","R2","","","","","","","","","IRQ02","","","","","","","","","","","AN128","","","","","","","","","","Disabled","","","ADC1: AN128
ICU0: IRQ02","","None","","",
"P804","P3","","","","","","","","","IRQ01","","","","","","","","","","","","","","","","","","","","","Disabled","","","ICU0: IRQ01","","None","","",
"P805","R13","","","","","TXD5/SDA5","","","","","","","","","","","","","","","","","","","","","","","","","Disabled","","","SCI5: SDA5
SCI5: TXD5","","None","","",
"P806","P12","","","","","","","","","IRQ00","","","","","","","","","","","","","","","","","","","","","Disabled","","","ICU0: IRQ00","","None","","",
"P900","A11","","","","","TXD4/SDA4","","","","","A23","","","","","","","","","","","","","","","","","","","","Disabled","","","BUS_ASYNCH0: A23
SCI4: SDA4
SCI4: TXD4","","None","","",
"P901","C10","","","","AGTIO1","SCK4","","","","","","","","","","","","","","","","","","","","","","","","","Disabled","","","AGT1: AGTIO1
SCI4: SCK4","","None","","",
"P905","B7","","","","","","","","","IRQ08","","","USB_ID","","","","","","","","","","","","","","","","","","Disabled","","","ICU0: IRQ08
USB_FS0: USB_ID","","None","","",
"P906","A7","","","","","","","","","IRQ09","","","USB_EXICEN","","","","","","","","","","","","","","","","","","Disabled","","","ICU0: IRQ09
USB_FS0: USB_EXICEN","","None","","",
"P907","D7","","","","","","","","","IRQ10","","","","","","","","","","","","","USBHS_ID","","","","","","","","Disabled","","","ICU0: IRQ10
USB_HS0: USBHS_ID","","None","","",
"P908","D8","","","","","","","","","IRQ11","","","","","","","","","","","","","USBHS_EXICEN","","","","","","","","Disabled","","","ICU0: IRQ11
USB_HS0: USBHS_EXICEN","","None","","",
"PA00","H4","SCI8_SDA8","","","","TXD8/SDA8","","","","","","","","","","","","","","","","","","","","","","","Low","","Peripheral mode","n-ch open drain","None","SCI8: SDA8
SCI8: TXD8","","IO","","",
"PA01","H2","","","","","SCK8","","","","","","","","","","","","","","","","","","","","","","","","","Disabled","","","SCI8: SCK8","","None","","",
"PA08","G1","","","","","","","","","IRQ06","","","USB_OVRCURA","","","","","","","","","","","","","","","","","","Disabled","","","ICU0: IRQ06
USB_FS0: USB_OVRCURA","","None","","",
"PA09","G4","","","","","","","","","IRQ05","","","USB_OVRCURB","","","","","","","","","","","","","","","","","","Disabled","","","ICU0: IRQ05
USB_FS0: USB_OVRCURB","","None","","",
"PA10","G2","","","","","","","","","IRQ04","","","","","","","","","","","","","","","","","","","","","Disabled","","","ICU0: IRQ04","","None","","",
"PB00","J12","","","","","SCK3","","","","","","","","","","","","","","","","","USBHS_VBUSEN","","","","","","","","Disabled","","","SCI3: SCK3
USB_HS0: USBHS_VBUSEN","","None","","",
"PB01","K13","","","","","CTSRTS3","","","","","","","","","","","","","","","","","USBHS_VBUS","","","","","","","","Disabled","","","SCI3: CTSRTS3
USB_HS0: USBHS_VBUS","","None","","",
"PVSSUSBHS","G15","USB_HS0_PVSS_USBHS","PVSS_USBHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"RES","C9","SYSTEM0_RES","RES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"USBDM","B14","USB_FS0_USB_DM","USB_DM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"USBDP","A14","USB_FS0_USB_DP","USB_DP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"USBHSDM","F15","USB_HS0_USBHS_DM","USBHS_DM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"USBHSDP","F14","USB_HS0_USBHS_DP","USBHS_DP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"USBHSRREF","G13","USB_HS0_USBHS_RREF","USBHS_RREF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"VBATT","K14","SYSTEM0_VBATT","VBATT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"VCC","D5","SYSTEM0_VCC","VCC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"VCC","D9","SYSTEM0_VCC","VCC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"VCC","E3","SYSTEM0_VCC","VCC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"VCC","G3","SYSTEM0_VCC","VCC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"VCC","H12","SYSTEM0_VCC","VCC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"VCC","K4","SYSTEM0_VCC","VCC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"VCC","M11","SYSTEM0_VCC","VCC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"VCC","M7","SYSTEM0_VCC","VCC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"VCC","N4","SYSTEM0_VCC","VCC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"VCCUSB","B13","USB_FS0_VCC_USB","VCC_USB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"VCCUSBHS","F13","USB_HS0_VCC_USBHS","VCC_USBHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"VCL","H1","SYSTEM0_VCL","VCL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"VCL0","K15","SYSTEM0_VCL0","VCL0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"VREFH","R8","ANALOG0_VREFH","VREFH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"VREFH0","R9","ANALOG0_VREFH0","VREFH0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"VREFL","P8","ANALOG0_VREFL","VREFL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"VREFL0","P9","ANALOG0_VREFL0","VREFL0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"VSS","C5","SYSTEM0_VSS","VSS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"VSS","D10","SYSTEM0_VSS","VSS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"VSS","E4","SYSTEM0_VSS","VSS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"VSS","H3","SYSTEM0_VSS","VSS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"VSS","J13","SYSTEM0_VSS","VSS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"VSS","L4","SYSTEM0_VSS","VSS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"VSS","M10","SYSTEM0_VSS","VSS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"VSS","M4","SYSTEM0_VSS","VSS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"VSS","N7","SYSTEM0_VSS","VSS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"VSS1USBHS","F12","USB_HS0_VSS1_USBHS","VSS1_USBHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"VSS2USBHS","G12","USB_HS0_VSS2_USBHS","VSS2_USBHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"VSSUSB","C13","USB_FS0_VSS_USB","VSS_USB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"XCIN","J15","CGC0_XCIN","XCIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"XCOUT","J14","CGC0_XCOUT","XCOUT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
